antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'item_B_Appliances'}),frozenset({'item_A_Appliances'}),0.1020671834625323,0.1020671834625323,0.1020671834625323,1.0,9.79746835443038,0.09164947352255808,inf,1.0
frozenset({'item_A_Appliances'}),frozenset({'item_B_Appliances'}),0.1020671834625323,0.1020671834625323,0.1020671834625323,1.0,9.79746835443038,0.09164947352255808,inf,1.0
frozenset({'item_C_Appliances'}),frozenset({'item_A_Appliances'}),0.037467700258397935,0.1020671834625323,0.037467700258397935,1.0,9.79746835443038,0.03364347762220486,inf,0.9328859060402684
frozenset({'item_A_Appliances'}),frozenset({'item_C_Appliances'}),0.1020671834625323,0.037467700258397935,0.037467700258397935,0.3670886075949367,9.79746835443038,0.03364347762220486,1.520801033591731,1.0
frozenset({'item_D_Appliances'}),frozenset({'item_A_Appliances'}),0.0103359173126615,0.1020671834625323,0.0103359173126615,1.0,9.79746835443038,0.009280959344056514,inf,0.9073107049608355
frozenset({'item_A_Appliances'}),frozenset({'item_D_Appliances'}),0.1020671834625323,0.0103359173126615,0.0103359173126615,0.10126582278481014,9.79746835443038,0.009280959344056514,1.10117552862394,1.0
frozenset({'item_B_Binders'}),frozenset({'item_A_Binders'}),0.07235142118863049,0.07235142118863049,0.07235142118863049,1.0,13.821428571428573,0.06711669304061588,inf,1.0
frozenset({'item_A_Binders'}),frozenset({'item_B_Binders'}),0.07235142118863049,0.07235142118863049,0.07235142118863049,1.0,13.821428571428573,0.06711669304061588,inf,1.0
frozenset({'item_C_Binders'}),frozenset({'item_A_Binders'}),0.041343669250646,0.07235142118863049,0.041343669250646,1.0,13.821428571428573,0.03835239602320908,inf,0.967654986522911
frozenset({'item_A_Binders'}),frozenset({'item_C_Binders'}),0.07235142118863049,0.041343669250646,0.041343669250646,0.5714285714285715,13.821428571428573,0.03835239602320908,2.236864771748493,1.0
frozenset({'item_D_Binders'}),frozenset({'item_A_Binders'}),0.015503875968992248,0.07235142118863049,0.015503875968992248,1.0,13.821428571428573,0.014382148508703403,inf,0.9422572178477691
frozenset({'item_A_Binders'}),frozenset({'item_D_Binders'}),0.07235142118863049,0.015503875968992248,0.015503875968992248,0.2142857142857143,13.821428571428573,0.014382148508703403,1.2529950669485552,1.0
frozenset({'item_A_Bookcases'}),frozenset({'item_B_Bookcases'}),0.0710594315245478,0.0710594315245478,0.0710594315245478,1.0,14.072727272727274,0.0660099887159559,inf,1.0
frozenset({'item_B_Bookcases'}),frozenset({'item_A_Bookcases'}),0.0710594315245478,0.0710594315245478,0.0710594315245478,1.0,14.072727272727274,0.0660099887159559,inf,1.0
frozenset({'item_A_Bookcases'}),frozenset({'item_C_Bookcases'}),0.0710594315245478,0.01808785529715762,0.01808785529715762,0.2545454545454545,14.072727272727272,0.01680254258224332,1.3171992185038128,1.0
